phrase	pos	var	phrase_ipa	expected_ipa	phrase_shaw	expected_shaw	classification
Santo Domingo	NP0	RSSB	ˌsæntəʊ dəˈmɪŋɡəʊ		𐑕𐑨𐑯𐑑𐑴 𐑛𐑩𐑥𐑦𐑙𐑜𐑴		unknown
San Jose	NP0	GenAm	ˌsæn hoʊˈzeɪ		𐑕𐑨𐑯 𐑣𐑴𐑟𐑱		unknown
San Jose	NP0	GenAm	ˌsænoʊˈzeɪ		𐑕𐑨𐑯𐑴𐑟𐑱		unknown
oh yeah	ITJ	GenAm	oʊ jæ	əʊ ˈjeə	𐑴 𐑘𐑨	𐑴𐑘𐑺	divergent
oh yeah	ITJ	GenAm	oʊjeə	əʊ ˈjeə	𐑴𐑘𐑺	𐑴𐑘𐑺	matches
oh yeah	ITJ	GenAm	oʊ˥˩ jeə˨˩	əʊ ˈjeə	𐑴˥˩ 𐑘𐑺˨˩	𐑴𐑘𐑺	divergent
oh yeah	ITJ	GenAm	oʊ˥˩ jeə˦˥	əʊ ˈjeə	𐑴˥˩ 𐑘𐑺˦˥	𐑴𐑘𐑺	divergent
oh yeah	ITJ	GenAm	oʊ˥˩ jeə˥˩	əʊ ˈjeə	𐑴˥˩ 𐑘𐑺˥˩	𐑴𐑘𐑺	divergent
oh yeah	ITJ	GenAm	oʊ˥ jeə˥˩	əʊ ˈjeə	𐑴˥ 𐑘𐑺˥˩	𐑴𐑘𐑺	divergent
complementary medicine	NN1	RSSB	kɒmpləmentəriː ˈmedɪsɪn	ˌkɒmplɪˈmentəri ˈmedɪsən	𐑒𐑪𐑥𐑐𐑤𐑩𐑥𐑧𐑯𐑑𐑼𐑰 𐑥𐑧𐑛𐑦𐑕𐑦𐑯	𐑒𐑪𐑥𐑐𐑤𐑦𐑥𐑧𐑯𐑑𐑼𐑦𐑥𐑧𐑛𐑦𐑕𐑩𐑯	divergent
complementary medicine	NN1	RSSB	kɔːmpləmentəriː ˈmedɪsɪn	ˌkɒmplɪˈmentəri ˈmedɪsən	𐑒𐑷𐑥𐑐𐑤𐑩𐑥𐑧𐑯𐑑𐑼𐑰 𐑥𐑧𐑛𐑦𐑕𐑦𐑯	𐑒𐑪𐑥𐑐𐑤𐑦𐑥𐑧𐑯𐑑𐑼𐑦𐑥𐑧𐑛𐑦𐑕𐑩𐑯	divergent
complementary medicine	NN1	GenAm	ˌkɒmpləˌmentəri ˈmedɪsɪn	ˌkɒmplɪˈmentəri ˈmedɪsən	𐑒𐑪𐑥𐑐𐑤𐑩𐑥𐑧𐑯𐑑𐑼𐑦 𐑥𐑧𐑛𐑦𐑕𐑦𐑯	𐑒𐑪𐑥𐑐𐑤𐑦𐑥𐑧𐑯𐑑𐑼𐑦𐑥𐑧𐑛𐑦𐑕𐑩𐑯	matches
dihydrogen monoxide	NN1	RSSB	daɪhaɪdrədʒən məˈnɒksaɪd		𐑛𐑲𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯 𐑥𐑩𐑯𐑪𐑒𐑕𐑲𐑛		unknown
dihydrogen monoxide	NN1	GenAm	daɪˈhaɪdrədʒən məˈnɒkˌsaɪd	ˌdaɪˈhaɪdrədʒən mɒˈnɒksaɪd	𐑛𐑲𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯 𐑥𐑩𐑯𐑪𐑒𐑕𐑲𐑛	𐑛𐑲𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯𐑥𐑪𐑯𐑪𐑒𐑕𐑲𐑛	divergent
hydrogen sulfide	NN1	RSSB	haɪdrədʒən ˈsʌlfaɪd	ˈhaɪdrədʒən ˈsʌlfaɪd	𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯 𐑕𐑳𐑤𐑓𐑲𐑛	𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯𐑕𐑳𐑤𐑓𐑲𐑛	matches
hydrogen sulfide	NN1	GenAm	ˈhaɪdrədʒən ˈsʌlfaɪd	ˈhaɪdrədʒən ˈsʌlfaɪd	𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯 𐑕𐑳𐑤𐑓𐑲𐑛	𐑣𐑲𐑛𐑮𐑩𐑡𐑩𐑯𐑕𐑳𐑤𐑓𐑲𐑛	matches
postcode lottery	NN1	RSSB	ˌpəʊstkəʊd lɒtəri	ˈpəʊstkəʊd ˈlɒtəri	𐑐𐑴𐑕𐑑𐑒𐑴𐑛 𐑤𐑪𐑑𐑼𐑦	𐑐𐑴𐑕𐑑𐑒𐑴𐑛𐑤𐑪𐑑𐑼𐑦	matches
postcode lottery	NN1	GenAm	ˌpoʊstˌkoʊd ˈlɒtəRi	ˈpəʊstkəʊd ˈlɒtəri	𐑐𐑴𐑕𐑑𐑒𐑴𐑛 𐑤𐑪𐑑𐑼𐑦	𐑐𐑴𐑕𐑑𐑒𐑴𐑛𐑤𐑪𐑑𐑼𐑦	matches
holy shit	ITJ	RSSB	ˌhəʊli ˈʃɪt	ˈhəʊli ʃɪt	𐑣𐑴𐑤𐑦 𐑖𐑦𐑑	𐑣𐑴𐑤𐑦𐑖𐑦𐑑	matches
holy shit	ITJ	GenAm	ˌhoʊli ˈʃɪt	ˈhəʊli ʃɪt	𐑣𐑴𐑤𐑦 𐑖𐑦𐑑	𐑣𐑴𐑤𐑦𐑖𐑦𐑑	matches
flutter in the dovecote	NN1	RSSB	flʌtəR ɪnðə dʌvkɒt	ˈflʌtəR ɪn Ð ˈdʌvkət	𐑓𐑤𐑳𐑑𐑼 𐑦𐑯𐑞𐑩 𐑛𐑳𐑝𐑒𐑪𐑑	𐑓𐑤𐑳𐑑𐑼𐑦𐑯𐑞𐑛𐑳𐑝𐑒𐑩𐑑	divergent
flutter in the dovecote	NN1	GenAm	ˌflʌtəR ɪnðə ˈdʌvkɒt	ˈflʌtəR ɪn Ð ˈdʌvkət	𐑓𐑤𐑳𐑑𐑼 𐑦𐑯𐑞𐑩 𐑛𐑳𐑝𐑒𐑪𐑑	𐑓𐑤𐑳𐑑𐑼𐑦𐑯𐑞𐑛𐑳𐑝𐑒𐑩𐑑	divergent
amniotic fluid	NN1	GenAm	ˌæmniˈɒtɪk ˈfluɪd	æmniˈɑːtɪk ˈfluːɪd	𐑨𐑥𐑯𐑦𐑪𐑑𐑦𐑒 𐑓𐑤𐑫𐑦𐑛	𐑨𐑥𐑯𐑦𐑭𐑑𐑦𐑒𐑓𐑤𐑵𐑦𐑛	divergent
boys will be boys	UNC	RSSB	bɔɪz wɪl biː bɔɪz	bɔɪz wɪl biː bɔɪz	𐑚𐑶𐑟 𐑢𐑦𐑤 𐑚𐑰 𐑚𐑶𐑟	𐑚𐑶𐑟𐑢𐑦𐑤𐑚𐑰𐑚𐑶𐑟	matches
boys will be boys	UNC	GenAm	bɔɪz wɪl bi bɔɪz	bɔɪz wɪl biː bɔɪz	𐑚𐑶𐑟 𐑢𐑦𐑤 𐑚𐑦 𐑚𐑶𐑟	𐑚𐑶𐑟𐑢𐑦𐑤𐑚𐑰𐑚𐑶𐑟	divergent
every cloud has a silver lining	UNC	GenAm	eːvri klɒʊd hæz ə sɪlvəR laiːnɪŋ	ˈevri klaʊd hæz ə ˈsɪlvəR ˈlaɪnɪŋ	𐑧𐑝𐑮𐑦 𐑒𐑤𐑪𐑫𐑛 𐑣𐑨𐑟 𐑩 𐑕𐑦𐑤𐑝𐑼 𐑤𐑨𐑰𐑯𐑦𐑙	𐑧𐑝𐑮𐑦𐑒𐑤𐑬𐑛𐑣𐑨𐑟𐑩𐑕𐑦𐑤𐑝𐑼𐑤𐑲𐑯𐑦𐑙	divergent
horse chestnut	NN1	RSSB	hɔːRs ˈtʃesnʌt	hɔːRs ˈtʃestnʌt	𐑣𐑹𐑕 𐑗𐑧𐑕𐑯𐑳𐑑	𐑣𐑹𐑕𐑗𐑧𐑕𐑑𐑯𐑳𐑑	divergent
horse chestnut	NN1	GenAm	ˌhɔːRs ˈtʃesnʌt	hɔːRs ˈtʃestnʌt	𐑣𐑹𐑕 𐑗𐑧𐑕𐑯𐑳𐑑	𐑣𐑹𐑕𐑗𐑧𐑕𐑑𐑯𐑳𐑑	divergent
femme fatale	NN1	GenAm	fem fəˈtæl		𐑓𐑧𐑥 𐑓𐑩𐑑𐑨𐑤		unknown
femme fatale	NN1	RSSB	fem fəˈtɑːl		𐑓𐑧𐑥 𐑓𐑩𐑑𐑭𐑤		unknown
lunar calendar	NN1	RSSB	ljuːnəkæləndəR	ˈluːnəR ˈkælɪndəR	𐑤𐑿𐑯𐑩𐑒𐑨𐑤𐑩𐑯𐑛𐑼	𐑤𐑵𐑯𐑼𐑒𐑨𐑤𐑦𐑯𐑛𐑼	divergent
lunar calendar	NN1	GenAm	ˈlunəRˈkæləndəR	ˈluːnəR ˈkælɪndəR	𐑤𐑫𐑯𐑼𐑒𐑨𐑤𐑩𐑯𐑛𐑼	𐑤𐑵𐑯𐑼𐑒𐑨𐑤𐑦𐑯𐑛𐑼	divergent
the Rock	NP0	GenAm	ðə ˈrɒk	Ð rɒk	𐑞𐑩 𐑮𐑪𐑒	𐑞𐑮𐑪𐑒	divergent
the Rock	NP0	RSSB	ðə ˈrɒk	Ð rɒk	𐑞𐑩 𐑮𐑪𐑒	𐑞𐑮𐑪𐑒	divergent
spitting image	NN1	RSSB	ˈspɪtɪŋ ˈɪmɪdʒ	ˈspɪtɪŋ ˈɪmɪdʒ	𐑕𐑐𐑦𐑑𐑦𐑙 𐑦𐑥𐑦𐑡	𐑕𐑐𐑦𐑑𐑦𐑙𐑦𐑥𐑦𐑡	matches
n'est-ce pas	UNC	RSSB	nesˈpa		𐑯𐑧𐑕𐑐𐑨		unknown
n'est-ce pas	UNC	RSSB	nesˈpɑː		𐑯𐑧𐑕𐑐𐑭		unknown
loss leader	NN1	RSSB	ˈlɒs liːdər	lɒs ˈliːdəR	𐑤𐑪𐑕 𐑤𐑰𐑛𐑼	𐑤𐑪𐑕𐑤𐑰𐑛𐑼	matches
loss leader	NN1	GenAm	ˈlɒs ˈlidəR	lɒs ˈliːdəR	𐑤𐑪𐑕 𐑤𐑦𐑛𐑼	𐑤𐑪𐑕𐑤𐑰𐑛𐑼	divergent
more or less	AV0	GenAm	mɔːR ɔːR les	mɔːR ɔːR les	𐑥𐑹 𐑹 𐑤𐑧𐑕	𐑥𐑹𐑹𐑤𐑧𐑕	matches
je ne sais quoi	NN1	RSSB	ˌʒə nə seɪ ˈkwɑː		𐑠𐑩 𐑯𐑩 𐑕𐑱 𐑒𐑢𐑭		unknown
je ne sais quoi	NN1	GenAm	ˌʒə nə seɪ ˈkwɒ		𐑠𐑩 𐑯𐑩 𐑕𐑱 𐑒𐑢𐑪		unknown
c'est la vie	UNC	RSSB	ˌseɪlæˈviː		𐑕𐑱𐑤𐑨𐑝𐑰		unknown
c'est la vie	UNC	RSSB	ˌselæˈviː		𐑕𐑧𐑤𐑨𐑝𐑰		unknown
c'est la vie	UNC	GenAm	ˌseɪlɒˈvi		𐑕𐑱𐑤𐑪𐑝𐑦		unknown
end of	ITJ	RSSB	ˌend ˈɒv	end V	𐑧𐑯𐑛 𐑪𐑝	𐑧𐑯𐑛𐑝	divergent
dire wolf	NN1	GenAm	ˈdaɪəR wʊlf	ˈdaɪəR wʊlf	𐑛𐑲𐑼 𐑢𐑫𐑤𐑓	𐑛𐑲𐑼𐑢𐑫𐑤𐑓	matches
dire wolf	NN1	RSSB	daɪəR wʊlf	ˈdaɪəR wʊlf	𐑛𐑲𐑼 𐑢𐑫𐑤𐑓	𐑛𐑲𐑼𐑢𐑫𐑤𐑓	matches
get down to brass tacks	VVI	RSSB	ɡet ˈdaʊn tə brɑːs ˈtæks	ɡet daʊn T brⱭːs tæks	𐑜𐑧𐑑 𐑛𐑬𐑯 𐑑𐑩 𐑚𐑮𐑭𐑕 𐑑𐑨𐑒𐑕	𐑜𐑧𐑑𐑛𐑬𐑯𐑑𐑚𐑮𐑭𐑕𐑑𐑨𐑒𐑕	divergent
get down to brass tacks	VVI	GenAm	ɡet ˈdaʊn tə bræs ˈtæks	ɡet daʊn T brⱭːs tæks	𐑜𐑧𐑑 𐑛𐑬𐑯 𐑑𐑩 𐑚𐑮𐑨𐑕 𐑑𐑨𐑒𐑕	𐑜𐑧𐑑𐑛𐑬𐑯𐑑𐑚𐑮𐑭𐑕𐑑𐑨𐑒𐑕	divergent
good riddance	ITJ	RSSB	ˌɡʊd rɪdənts	ɡʊd ˈrɪdəns	𐑜𐑫𐑛 𐑮𐑦𐑛𐑩𐑯𐑑𐑕	𐑜𐑫𐑛𐑮𐑦𐑛𐑩𐑯𐑕	divergent
good riddance	ITJ	GenAm	ˌɡʊd ˈrɪdənts	ɡʊd ˈrɪdəns	𐑜𐑫𐑛 𐑮𐑦𐑛𐑩𐑯𐑑𐑕	𐑜𐑫𐑛𐑮𐑦𐑛𐑩𐑯𐑕	divergent
good riddance	NN1	RSSB	ˌɡʊd rɪdənts	ɡʊd ˈrɪdəns	𐑜𐑫𐑛 𐑮𐑦𐑛𐑩𐑯𐑑𐑕	𐑜𐑫𐑛𐑮𐑦𐑛𐑩𐑯𐑕	divergent
good riddance	NN1	GenAm	ˌɡʊd ˈrɪdənts	ɡʊd ˈrɪdəns	𐑜𐑫𐑛 𐑮𐑦𐑛𐑩𐑯𐑑𐑕	𐑜𐑫𐑛𐑮𐑦𐑛𐑩𐑯𐑕	divergent
I'll be a monkey's uncle	UNC	RSSB	ˈaɪl biː ə ˈmʌŋkiz ˌʌŋkəl		𐑲𐑤 𐑚𐑰 𐑩 𐑥𐑳𐑙𐑒𐑦𐑟 𐑳𐑙𐑒𐑩𐑤		unknown
I'll be a monkey's uncle	UNC	GenAm	ˈɑːl bi ə ˈmʌŋkiz ˌʌŋkəl		𐑭𐑤 𐑚𐑦 𐑩 𐑥𐑳𐑙𐑒𐑦𐑟 𐑳𐑙𐑒𐑩𐑤		unknown
l'esprit de l'escalier	NN1	RSSB	leˌspriː də lesˈkaljeɪ		𐑤𐑧𐑕𐑐𐑮𐑰 𐑛𐑩 𐑤𐑧𐑕𐑒𐑨𐑤𐑘𐑱		unknown
l'esprit de l'escalier	NN1	GenAm	leˌspri də ˌleskəlˈjeɪ		𐑤𐑧𐑕𐑐𐑮𐑦 𐑛𐑩 𐑤𐑧𐑕𐑒𐑩𐑤𐑘𐑱		unknown
l'esprit de l'escalier	NN1	GenAm	leˌspri də ˈleskɒljeɪ		𐑤𐑧𐑕𐑐𐑮𐑦 𐑛𐑩 𐑤𐑧𐑕𐑒𐑪𐑤𐑘𐑱		unknown
square meal	NN1	RSSB	skweəR ˈmiːl	skweəR miːl	𐑕𐑒𐑢𐑺 𐑥𐑰𐑤	𐑕𐑒𐑢𐑺𐑥𐑰𐑤	matches
square meal	NN1	GenAm	skweəR ˈmil	skweəR miːl	𐑕𐑒𐑢𐑺 𐑥𐑦𐑤	𐑕𐑒𐑢𐑺𐑥𐑰𐑤	divergent
uno flatu	AV0	RSSB	ˈuːnəʊ ˈflɑːtuː		𐑵𐑯𐑴 𐑓𐑤𐑭𐑑𐑵		unknown
ta ta for now	ITJ	RSSB	tətɑː fəR naʊ	tɑː tɑː F naʊ	𐑑𐑩𐑑𐑭 𐑓𐑼 𐑯𐑬	𐑑𐑭𐑑𐑭𐑓𐑯𐑬	divergent
fair suck of the sauce bottle	NN1	RSSB	feəR ˈsʌk əv ðə ˈsɔːs ˈbɒtəl	feəR sʌk V Ð sɔːs ˈbɒtəl	𐑓𐑺 𐑕𐑳𐑒 𐑩𐑝 𐑞𐑩 𐑕𐑷𐑕 𐑚𐑪𐑑𐑩𐑤	𐑓𐑺𐑕𐑳𐑒𐑝𐑞𐑕𐑷𐑕𐑚𐑪𐑑𐑩𐑤	divergent
fair suck of the sauce bottle	NN1	GenAm	ˌfeəR ˈsʌk əv ðə ˈsɒs ˈbɒtəl	feəR sʌk V Ð sɔːs ˈbɒtəl	𐑓𐑺 𐑕𐑳𐑒 𐑩𐑝 𐑞𐑩 𐑕𐑪𐑕 𐑚𐑪𐑑𐑩𐑤	𐑓𐑺𐑕𐑳𐑒𐑝𐑞𐑕𐑷𐑕𐑚𐑪𐑑𐑩𐑤	divergent
fair suck of the sauce bottle	ITJ	RSSB	feəR ˈsʌk əv ðə ˈsɔːs ˈbɒtəl	feəR sʌk V Ð sɔːs ˈbɒtəl	𐑓𐑺 𐑕𐑳𐑒 𐑩𐑝 𐑞𐑩 𐑕𐑷𐑕 𐑚𐑪𐑑𐑩𐑤	𐑓𐑺𐑕𐑳𐑒𐑝𐑞𐑕𐑷𐑕𐑚𐑪𐑑𐑩𐑤	divergent
fair suck of the sauce bottle	ITJ	GenAm	ˌfeəR ˈsʌk əv ðə ˈsɒs ˈbɒtəl	feəR sʌk V Ð sɔːs ˈbɒtəl	𐑓𐑺 𐑕𐑳𐑒 𐑩𐑝 𐑞𐑩 𐑕𐑪𐑕 𐑚𐑪𐑑𐑩𐑤	𐑓𐑺𐑕𐑳𐑒𐑝𐑞𐑕𐑷𐑕𐑚𐑪𐑑𐑩𐑤	divergent
Homer nods	UNC	RSSB	həʊməR ˈnɒdz		𐑣𐑴𐑥𐑼 𐑯𐑪𐑛𐑟		unknown
Homer nods	UNC	GenAm	ˈhoʊmər ˈnɒdz	ˈhoʊməR nɒdz	𐑣𐑴𐑥𐑼 𐑯𐑪𐑛𐑟	𐑣𐑴𐑥𐑼𐑯𐑪𐑛𐑟	matches
big picture	NN1	GenAm	bɪɡ ˈpɪktʃəR	bɪɡ ˈpɪktʃəR	𐑚𐑦𐑜 𐑐𐑦𐑒𐑗𐑼	𐑚𐑦𐑜𐑐𐑦𐑒𐑗𐑼	matches
mill race	NN1	RSSB	ˈmɪlreɪs	mɪl reɪs	𐑥𐑦𐑤𐑮𐑱𐑕	𐑥𐑦𐑤𐑮𐑱𐑕	matches
horses for courses	UNC	RSSB	hɔːrsɪz fəR kɔːRsƏz	ˈhɔːRsƏz F ˈkɔːRsƏz	𐑣𐑹𐑕𐑦𐑟 𐑓𐑼 𐑒𐑹𐑕𐑩𐑟	𐑣𐑹𐑕𐑩𐑟𐑓𐑒𐑹𐑕𐑩𐑟	divergent
horses for courses	UNC	GenAm	ˈhɔːRsəz fəR ˈkɔːRsəz	ˈhɔːRsƏz F ˈkɔːRsƏz	𐑣𐑹𐑕𐑩𐑟 𐑓𐑼 𐑒𐑹𐑕𐑩𐑟	𐑣𐑹𐑕𐑩𐑟𐑓𐑒𐑹𐑕𐑩𐑟	divergent
forbidden fruit is the sweetest	UNC	RSSB	fəRbɪdən fruːt ɪz ðə ˈswiːtəst	fəRˈbɪdən fruːt ɪz Ð ˈswiːtəst	𐑓𐑼𐑚𐑦𐑛𐑩𐑯 𐑓𐑮𐑵𐑑 𐑦𐑟 𐑞𐑩 𐑕𐑢𐑰𐑑𐑩𐑕𐑑	𐑓𐑼𐑚𐑦𐑛𐑩𐑯𐑓𐑮𐑵𐑑𐑦𐑟𐑞𐑕𐑢𐑰𐑑𐑩𐑕𐑑	divergent
forbidden fruit is the sweetest	UNC	GenAm	fəRˈbɪdən frut ɪz ðə ˈswiːtəst	fəRˈbɪdən fruːt ɪz Ð ˈswiːtəst	𐑓𐑼𐑚𐑦𐑛𐑩𐑯 𐑓𐑮𐑫𐑑 𐑦𐑟 𐑞𐑩 𐑕𐑢𐑰𐑑𐑩𐑕𐑑	𐑓𐑼𐑚𐑦𐑛𐑩𐑯𐑓𐑮𐑵𐑑𐑦𐑟𐑞𐑕𐑢𐑰𐑑𐑩𐑕𐑑	divergent
bread and butter	NN1	GenAm	ˈbred ən ˌbʌtəR	bred N ˈbʌtəR	𐑚𐑮𐑧𐑛 𐑩𐑯 𐑚𐑳𐑑𐑼	𐑚𐑮𐑧𐑛𐑯𐑚𐑳𐑑𐑼	divergent
bread and butter	ITJ	GenAm	ˈbred ən ˌbʌtəR	bred N ˈbʌtəR	𐑚𐑮𐑧𐑛 𐑩𐑯 𐑚𐑳𐑑𐑼	𐑚𐑮𐑧𐑛𐑯𐑚𐑳𐑑𐑼	divergent
feme covert	NN1	RSSB	femkʌvəRt		𐑓𐑧𐑥𐑒𐑳𐑝𐑼𐑑		unknown
feme sole	NN1	RSSB	ˈfemsəʊl		𐑓𐑧𐑥𐑕𐑴𐑤		unknown
Daisy Dukes	NN1	RSSB	deɪzi ˈduːks	ˈdeɪzi djuːks	𐑛𐑱𐑟𐑦 𐑛𐑵𐑒𐑕	𐑛𐑱𐑟𐑦𐑛𐑿𐑒𐑕	divergent
absorption line	NN1	GenAm	æbˈsɔːRpʃən laɪn	əbˈsɔːRpʃən laɪn	𐑨𐑚𐑕𐑹𐑐𐑖𐑩𐑯 𐑤𐑲𐑯	𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯𐑤𐑲𐑯	matches
absorption line	NN1	GenAm	æbˈzɔːRpʃən laɪn	əbˈsɔːRpʃən laɪn	𐑨𐑚𐑟𐑹𐑐𐑖𐑩𐑯 𐑤𐑲𐑯	𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯𐑤𐑲𐑯	divergent
absorption line	NN1	GenAm	əbˈzɔːRpʃən laɪn	əbˈsɔːRpʃən laɪn	𐑩𐑚𐑟𐑹𐑐𐑖𐑩𐑯 𐑤𐑲𐑯	𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯𐑤𐑲𐑯	divergent
absorption line	NN1	GenAm	əbˈsɔːRpʃən laɪn	əbˈsɔːRpʃən laɪn	𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯 𐑤𐑲𐑯	𐑩𐑚𐑕𐑹𐑐𐑖𐑩𐑯𐑤𐑲𐑯	matches
noblesse oblige	NN1	RSSB	nəʊˌbles ɒˈbliːʒ	nəʊˈbles əˈblaɪdʒ	𐑯𐑴𐑚𐑤𐑧𐑕 𐑪𐑚𐑤𐑰𐑠	𐑯𐑴𐑚𐑤𐑧𐑕𐑩𐑚𐑤𐑲𐑡	divergent
noblesse oblige	NN1	GenAm	noʊˌbles əˈbliʒ	nəʊˈbles əˈblaɪdʒ	𐑯𐑴𐑚𐑤𐑧𐑕 𐑩𐑚𐑤𐑦𐑠	𐑯𐑴𐑚𐑤𐑧𐑕𐑩𐑚𐑤𐑲𐑡	divergent
menstrual cup	NN1	GenAm	ˈmenstruəl kʌp	ˈmenstruəl kʌp	𐑥𐑧𐑯𐑕𐑑𐑮𐑫𐑩𐑤 𐑒𐑳𐑐	𐑥𐑧𐑯𐑕𐑑𐑮𐑫𐑩𐑤𐑒𐑳𐑐	matches
could care less	VVI	RSSB	kəd keəR ˈles	kʊd keəR les	𐑒𐑩𐑛 𐑒𐑺 𐑤𐑧𐑕	𐑒𐑫𐑛𐑒𐑺𐑤𐑧𐑕	matches
could care less	VVI	GenAm	kəd keər ˈles	kʊd keəR les	𐑒𐑩𐑛 𐑒𐑺 𐑤𐑧𐑕	𐑒𐑫𐑛𐑒𐑺𐑤𐑧𐑕	matches
camel case	NN1	RSSB	ˈkæməl keɪs	ˈkæməl keɪs	𐑒𐑨𐑥𐑩𐑤 𐑒𐑱𐑕	𐑒𐑨𐑥𐑩𐑤𐑒𐑱𐑕	matches
camel case	NN1	GenAm	ˈkæməl ˌkeɪs	ˈkæməl keɪs	𐑒𐑨𐑥𐑩𐑤 𐑒𐑱𐑕	𐑒𐑨𐑥𐑩𐑤𐑒𐑱𐑕	matches
orotic acid	NN1	RSSB	ɒˌrɒtɪk ˈasƏd		𐑪𐑮𐑪𐑑𐑦𐑒 𐑨𐑕𐑩𐑛		unknown
orotic acid	NN1	GenAm	əˌrɒtɪk ˈæsƏd		𐑼𐑪𐑑𐑦𐑒 𐑨𐑕𐑩𐑛		unknown
bump into	VVI	RSSB	ˌbʌmˈpɪntuː	bʌmp ˈɪntuː	𐑚𐑳𐑥𐑐𐑦𐑯𐑑𐑵	𐑚𐑳𐑥𐑐𐑦𐑯𐑑𐑵	matches
bump into	VVI	GenAm	ˌbʌmˈpɪntu	bʌmp ˈɪntuː	𐑚𐑳𐑥𐑐𐑦𐑯𐑑𐑫	𐑚𐑳𐑥𐑐𐑦𐑯𐑑𐑵	divergent
hapax legomena	NN1	RSSB	ˈhæpˌæks ləˈɡɒmɪnə		𐑣𐑨𐑐𐑨𐑒𐑕 𐑤𐑩𐑜𐑪𐑥𐑦𐑯𐑩		unknown
hapax legomena	NN1	GenAm	ˈhæpˌæks ləˈɡɒmɪnə		𐑣𐑨𐑐𐑨𐑒𐑕 𐑤𐑩𐑜𐑪𐑥𐑦𐑯𐑩		unknown
four hundred	CRD	RSSB	fɔːR hʌndrəd	fɔːR ˈhʌndrəd	𐑓𐑹 𐑣𐑳𐑯𐑛𐑮𐑩𐑛	𐑓𐑹𐑣𐑳𐑯𐑛𐑮𐑩𐑛	matches
four hundred	CRD	RSSB	fɔːR ˈhʌndrƏd	fɔːR ˈhʌndrəd	𐑓𐑹 𐑣𐑳𐑯𐑛𐑮𐑩𐑛	𐑓𐑹𐑣𐑳𐑯𐑛𐑮𐑩𐑛	matches
four hundred	CRD	GenAm	ˈfɔːr ˈhʌndrƏd	fɔːR ˈhʌndrəd	𐑓𐑹 𐑣𐑳𐑯𐑛𐑮𐑩𐑛	𐑓𐑹𐑣𐑳𐑯𐑛𐑮𐑩𐑛	matches
four hundred	CRD	GenAm	ˈfoʊr ˈhʌndrəd	fɔːR ˈhʌndrəd	𐑓𐑴𐑮 𐑣𐑳𐑯𐑛𐑮𐑩𐑛	𐑓𐑹𐑣𐑳𐑯𐑛𐑮𐑩𐑛	divergent
no diggity	UNC	GenAm	ˈnoʊ ˈdɪɡɪti		𐑯𐑴 𐑛𐑦𐑜𐑦𐑑𐑦		unknown
Grand Prix	NN1	GenAm	ɡrændˈpriː		𐑜𐑮𐑨𐑯𐑛𐑐𐑮𐑰		unknown
Grand Prix	NN1	GenAm	ɡrɒn ˈpriː		𐑜𐑮𐑪𐑯 𐑐𐑮𐑰		unknown
brute force	NN1	RSSB	bruːt fɔːRs	bruːt fɔːRs	𐑚𐑮𐑵𐑑 𐑓𐑹𐑕	𐑚𐑮𐑵𐑑𐑓𐑹𐑕	matches
brute force	NN1	GenAm	brut ˈfɔːRs	bruːt fɔːRs	𐑚𐑮𐑫𐑑 𐑓𐑹𐑕	𐑚𐑮𐑵𐑑𐑓𐑹𐑕	divergent
brute force	VVI	RSSB	bruːt fɔːRs	bruːt fɔːRs	𐑚𐑮𐑵𐑑 𐑓𐑹𐑕	𐑚𐑮𐑵𐑑𐑓𐑹𐑕	matches
brute force	VVI	GenAm	brut ˈfɔːRs	bruːt fɔːRs	𐑚𐑮𐑫𐑑 𐑓𐑹𐑕	𐑚𐑮𐑵𐑑𐑓𐑹𐑕	divergent
Ben Nevis	NP0	RSSB	ˌben ˈnevɪs		𐑚𐑧𐑯 𐑯𐑧𐑝𐑦𐑕		unknown
carbon tetrabromide	NN1	RSSB	kɑːrbən tetrəbrəʊmaɪd		𐑒𐑸𐑚𐑩𐑯 𐑑𐑧𐑑𐑮𐑩𐑚𐑮𐑴𐑥𐑲𐑛		unknown
carbon tetrafluoride	NN1	RSSB	kɑːrbən tetrəflʊraɪd		𐑒𐑸𐑚𐑩𐑯 𐑑𐑧𐑑𐑮𐑩𐑓𐑤𐑫𐑮𐑲𐑛		unknown
carbon tetraiodide	NN1	RSSB	kærbən tetrəaɪəʊdaɪd		𐑒𐑨𐑮𐑚𐑩𐑯 𐑑𐑧𐑑𐑮𐑩𐑲𐑴𐑛𐑲𐑛		unknown
